Launch_ID,City,Store_ID,Planned_Launch_Date,Owner,Onboarding_Status,Tech_Setup_Status,Testing_Status,Inventory_Readiness,Staffing_Readiness,SOP_Checklist,Expected_Daily_Orders,Planned_Capacity,Readiness_%,Capacity_Utilization_%,Primary_Blocker,Launch_Status,Days_to_or_Past_Launch
LCH10022,Bengaluru,ST663,2025-10-04,Ops-B,Complete,Complete,Passed,Ready,Pending,Complete,1502,859,83,174.9,Staffing,Delayed,-290
LCH10023,Pune,ST987,2025-06-10,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,1108,1311,100,84.5,None,Go-Live Ready,-406
LCH10024,Bengaluru,ST826,2026-04-05,Ops-C,Complete,Pending,Passed,Ready,Pending,Complete,268,532,67,50.4,Tech Setup,Delayed,-107
LCH10025,Chennai,ST763,2025-11-10,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1598,859,100,186.0,Capacity,Go-Live Ready,-253
LCH10026,Mumbai,ST540,2025-01-22,Ops-B,Complete,Complete,Pending,Ready,Ready,Complete,985,1220,83,80.7,Testing,Delayed,-545
LCH10027,Ahmedabad,ST602,2025-09-10,Ops-E,Complete,Pending,Pending,Ready,Ready,Complete,991,1160,67,85.4,Tech Setup,Delayed,-314
LCH10028,Ahmedabad,ST375,2026-04-20,Ops-D,Complete,Complete,Passed,Ready,Ready,Pending,1016,1171,83,86.8,SOP,Delayed,-92
LCH10029,Hyderabad,ST950,2025-02-28,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,1546,380,100,406.8,Capacity,Go-Live Ready,-508
LCH10030,Pune,ST176,2026-05-26,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,1352,913,100,148.1,Capacity,Go-Live Ready,-56
LCH10031,Kochi,ST539,2026-04-21,Ops-C,Complete,Complete,Passed,Ready,Pending,Complete,1094,1002,83,109.2,Staffing,Delayed,-91
LCH10032,Delhi NCR,ST832,2025-07-09,Ops-E,Complete,Complete,Pending,Ready,Ready,Complete,551,840,83,65.6,Testing,Delayed,-377
LCH10033,Kochi,ST960,2025-09-01,Ops-C,Complete,Complete,Passed,Pending,Ready,Complete,1567,1064,83,147.3,Inventory,Delayed,-323
LCH10034,Hyderabad,ST799,2026-05-20,Ops-A,Complete,Complete,Passed,Ready,Ready,Pending,1032,1037,83,99.5,SOP,Delayed,-62
LCH10035,Chennai,ST389,2025-05-11,Ops-B,Complete,Complete,Passed,Ready,Pending,Complete,715,905,83,79.0,Staffing,Delayed,-436
LCH10036,Delhi NCR,ST640,2026-04-30,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,1252,1409,100,88.9,None,Go-Live Ready,-82
LCH10037,Mumbai,ST991,2025-01-21,Ops-E,Complete,Complete,Passed,Pending,Ready,Complete,573,921,83,62.2,Inventory,Delayed,-546
LCH10038,Kochi,ST792,2025-06-16,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,267,1321,100,20.2,None,Go-Live Ready,-400
LCH10039,Mumbai,ST353,2025-10-01,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,517,495,100,104.4,Capacity,Go-Live Ready,-293
LCH10040,Kochi,ST226,2026-01-23,Ops-E,Complete,Pending,Passed,Ready,Pending,Pending,1279,1294,50,98.8,Tech Setup,Delayed,-179
LCH10041,Mumbai,ST277,2025-11-12,Ops-E,Complete,Pending,Failed,Ready,Ready,Complete,1278,1245,67,102.7,Tech Setup,Delayed,-251
LCH10042,Kochi,ST137,2025-01-14,Ops-A,Complete,Pending,Passed,Ready,Ready,Complete,1476,343,83,430.3,Tech Setup,Delayed,-553
LCH10043,Mumbai,ST510,2025-08-30,Ops-B,Complete,Complete,Passed,Ready,Ready,Pending,779,692,83,112.6,SOP,Delayed,-325
LCH10044,Hyderabad,ST711,2025-12-12,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,297,1413,100,21.0,None,Go-Live Ready,-221
LCH10045,Kolkata,ST710,2025-12-06,Ops-E,Pending,Complete,Passed,Ready,Ready,Complete,299,454,83,65.9,Onboarding,Delayed,-227
LCH10046,Delhi NCR,ST227,2025-04-02,Ops-D,Complete,Complete,Passed,Ready,Ready,Pending,965,1277,83,75.6,SOP,Delayed,-475
LCH10047,Pune,ST583,2026-01-02,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,405,358,100,113.1,Capacity,Go-Live Ready,-200
LCH10048,Chennai,ST268,2026-03-31,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,231,409,100,56.5,None,Go-Live Ready,-112
LCH10049,Jaipur,ST692,2026-03-04,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,165,778,100,21.2,None,Go-Live Ready,-139
LCH10050,Bengaluru,ST394,2026-05-24,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,1050,917,100,114.5,Capacity,Go-Live Ready,-58
LCH10051,Pune,ST945,2025-02-04,Ops-B,Complete,Pending,Pending,Ready,Pending,Complete,342,1083,50,31.6,Tech Setup,Delayed,-532
LCH10052,Bengaluru,ST738,2025-07-25,Ops-B,Pending,Complete,Passed,Ready,Pending,Complete,872,1372,67,63.6,Onboarding,Delayed,-361
LCH10053,Delhi NCR,ST443,2025-03-22,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,1247,1355,100,92.0,None,Go-Live Ready,-486
LCH10054,Pune,ST410,2026-01-23,Ops-B,Complete,Pending,Failed,Ready,Ready,Complete,1450,900,67,161.1,Tech Setup,Delayed,-179
LCH10055,Mumbai,ST762,2025-01-02,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,1234,1239,100,99.6,None,Go-Live Ready,-565
LCH10056,Mumbai,ST628,2026-01-25,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,1122,1291,100,86.9,None,Go-Live Ready,-177
LCH10057,Jaipur,ST640,2025-04-16,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1100,830,100,132.5,Capacity,Go-Live Ready,-461
LCH10058,Bengaluru,ST519,2026-04-22,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,685,1326,100,51.7,None,Go-Live Ready,-90
LCH10059,Chennai,ST544,2026-02-06,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,492,677,100,72.7,None,Go-Live Ready,-165
LCH10060,Delhi NCR,ST785,2025-06-11,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,544,871,100,62.5,None,Go-Live Ready,-405
LCH10061,Mumbai,ST658,2025-07-21,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,1092,886,100,123.3,Capacity,Go-Live Ready,-365
LCH10062,Kolkata,ST940,2025-09-27,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,407,656,100,62.0,None,Go-Live Ready,-297
LCH10063,Hyderabad,ST336,2025-09-28,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1371,984,100,139.3,Capacity,Go-Live Ready,-296
LCH10064,Hyderabad,ST539,2026-04-01,Ops-B,Complete,Pending,Passed,Pending,Ready,Complete,202,1157,67,17.5,Tech Setup,Delayed,-111
LCH10065,Kochi,ST314,2026-04-07,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,800,958,100,83.5,None,Go-Live Ready,-105
LCH10066,Chennai,ST185,2025-09-09,Ops-A,Complete,Complete,Passed,Ready,Ready,Pending,420,334,83,125.7,SOP,Delayed,-315
LCH10067,Hyderabad,ST894,2025-10-23,Ops-D,Complete,Pending,Passed,Ready,Ready,Complete,350,1306,83,26.8,Tech Setup,Delayed,-271
LCH10068,Kochi,ST844,2025-12-04,Ops-B,Complete,Complete,Failed,Ready,Ready,Pending,545,760,67,71.7,Testing,Delayed,-229
LCH10069,Bengaluru,ST185,2025-02-22,Ops-A,Complete,Pending,Passed,Ready,Ready,Complete,527,1017,83,51.8,Tech Setup,Delayed,-514
LCH10070,Mumbai,ST589,2025-08-05,Ops-E,Complete,Pending,Passed,Ready,Ready,Complete,825,811,83,101.7,Tech Setup,Delayed,-350
LCH10071,Mumbai,ST165,2025-07-07,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,684,1371,100,49.9,None,Go-Live Ready,-379
LCH10072,Kolkata,ST746,2026-01-15,Ops-B,Complete,Complete,Passed,Ready,Pending,Complete,1072,790,83,135.7,Staffing,Delayed,-187
LCH10073,Pune,ST763,2026-05-08,Ops-D,Complete,Complete,Failed,Ready,Ready,Complete,1261,572,83,220.5,Testing,Delayed,-74
LCH10074,Hyderabad,ST727,2025-02-10,Ops-C,Complete,Complete,Passed,Pending,Ready,Complete,547,1312,83,41.7,Inventory,Delayed,-526
LCH10075,Bengaluru,ST164,2025-06-06,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,1355,826,100,164.0,Capacity,Go-Live Ready,-410
LCH10076,Ahmedabad,ST443,2025-01-15,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1016,1451,100,70.0,None,Go-Live Ready,-552
LCH10077,Hyderabad,ST975,2025-03-06,Ops-A,Complete,Complete,Pending,Ready,Ready,Complete,1456,509,83,286.1,Testing,Delayed,-502
LCH10078,Chennai,ST452,2026-06-05,Ops-E,Complete,Complete,Pending,Ready,Ready,Complete,710,923,83,76.9,Testing,Delayed,-46
LCH10079,Pune,ST258,2025-12-10,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,339,1465,100,23.1,None,Go-Live Ready,-223
LCH10080,Hyderabad,ST689,2025-05-09,Ops-A,Complete,Complete,Pending,Ready,Ready,Complete,354,472,83,75.0,Testing,Delayed,-438
LCH10081,Bengaluru,ST591,2026-04-17,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1117,746,100,149.7,Capacity,Go-Live Ready,-95
LCH10082,Hyderabad,ST758,2025-03-04,Ops-E,Complete,Complete,Passed,Ready,Pending,Pending,193,1442,67,13.4,Staffing,Delayed,-504
LCH10083,Chennai,ST955,2025-05-19,Ops-C,Complete,Complete,Pending,Ready,Ready,Complete,1153,310,83,371.9,Testing,Delayed,-428
LCH10084,Ahmedabad,ST563,2026-05-14,Ops-A,Complete,Pending,Pending,Pending,Ready,Complete,1473,1060,50,139.0,Tech Setup,Delayed,-68
LCH10085,Delhi NCR,ST325,2026-01-27,Ops-D,Pending,Complete,Passed,Ready,Pending,Complete,1168,1477,67,79.1,Onboarding,Delayed,-175
LCH10086,Jaipur,ST413,2026-02-23,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,789,622,100,126.8,Capacity,Go-Live Ready,-148
LCH10087,Ahmedabad,ST715,2025-10-16,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,1143,1276,100,89.6,None,Go-Live Ready,-278
LCH10088,Kochi,ST959,2026-01-14,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,850,744,100,114.2,Capacity,Go-Live Ready,-188
LCH10089,Hyderabad,ST913,2026-05-05,Ops-B,Complete,Complete,Pending,Ready,Ready,Complete,1452,641,83,226.5,Testing,Delayed,-77
LCH10090,Mumbai,ST566,2025-08-19,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,862,520,100,165.8,Capacity,Go-Live Ready,-336
LCH10091,Kolkata,ST188,2025-02-10,Ops-B,Complete,Complete,Failed,Ready,Ready,Complete,1558,409,83,380.9,Testing,Delayed,-526
LCH10092,Mumbai,ST983,2025-01-28,Ops-B,Complete,Complete,Failed,Ready,Ready,Complete,786,709,83,110.9,Testing,Delayed,-539
LCH10093,Ahmedabad,ST403,2025-05-15,Ops-C,Complete,Complete,Passed,Ready,Pending,Complete,953,804,83,118.5,Staffing,Delayed,-432
LCH10094,Mumbai,ST780,2025-07-20,Ops-C,Complete,Pending,Pending,Ready,Ready,Complete,460,339,67,135.7,Tech Setup,Delayed,-366
LCH10095,Bengaluru,ST535,2025-02-02,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1027,562,100,182.7,Capacity,Go-Live Ready,-534
LCH10096,Mumbai,ST782,2025-02-17,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,1006,1441,100,69.8,None,Go-Live Ready,-519
LCH10097,Pune,ST235,2026-05-18,Ops-A,Complete,Complete,Passed,Ready,Ready,Pending,423,1007,83,42.0,SOP,Delayed,-64
LCH10098,Delhi NCR,ST150,2026-02-11,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,680,1122,100,60.6,None,Go-Live Ready,-160
LCH10099,Hyderabad,ST532,2025-04-09,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,166,760,100,21.8,None,Go-Live Ready,-468
LCH10100,Mumbai,ST440,2026-07-01,Ops-B,Complete,Complete,Pending,Ready,Ready,Complete,867,1441,83,60.2,Testing,Delayed,-20
LCH10101,Chennai,ST447,2026-04-07,Ops-A,Complete,Complete,Passed,Ready,Pending,Complete,1203,516,83,233.1,Staffing,Delayed,-105
LCH10102,Delhi NCR,ST746,2025-01-05,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,619,376,100,164.6,Capacity,Go-Live Ready,-562
LCH10103,Delhi NCR,ST447,2025-08-06,Ops-D,Complete,Complete,Pending,Ready,Ready,Complete,960,1191,83,80.6,Testing,Delayed,-349
LCH10104,Mumbai,ST749,2026-05-18,Ops-E,Pending,Complete,Passed,Pending,Ready,Pending,1477,1495,50,98.8,Onboarding,Delayed,-64
LCH10105,Delhi NCR,ST345,2026-02-02,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,704,689,100,102.2,Capacity,Go-Live Ready,-169
LCH10106,Kolkata,ST209,2026-01-28,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,242,1349,100,17.9,None,Go-Live Ready,-174
LCH10107,Mumbai,ST925,2025-07-26,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,1031,1451,100,71.1,None,Go-Live Ready,-360
LCH10108,Bengaluru,ST899,2025-01-15,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,727,673,100,108.0,Capacity,Go-Live Ready,-552
LCH10109,Ahmedabad,ST633,2026-04-06,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,780,953,100,81.8,None,Go-Live Ready,-106
LCH10110,Pune,ST190,2025-08-29,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,970,1203,100,80.6,None,Go-Live Ready,-326
LCH10111,Jaipur,ST396,2025-04-06,Ops-C,Complete,Complete,Passed,Pending,Ready,Complete,733,1347,83,54.4,Inventory,Delayed,-471
LCH10112,Kochi,ST212,2026-04-30,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,995,1043,100,95.4,None,Go-Live Ready,-82
LCH10113,Delhi NCR,ST913,2026-02-11,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,1335,722,100,184.9,Capacity,Go-Live Ready,-160
LCH10114,Bengaluru,ST689,2025-08-19,Ops-B,Complete,Pending,Passed,Ready,Ready,Complete,991,1152,83,86.0,Tech Setup,Delayed,-336
LCH10115,Hyderabad,ST277,2025-06-20,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,477,1130,100,42.2,None,Go-Live Ready,-396
LCH10116,Hyderabad,ST443,2026-06-25,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,879,1272,100,69.1,None,Go-Live Ready,-26
LCH10117,Kochi,ST760,2025-02-05,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,403,928,100,43.4,None,Go-Live Ready,-531
LCH10118,Pune,ST201,2026-06-09,Ops-B,Complete,Complete,Passed,Ready,Pending,Complete,720,869,83,82.9,Staffing,Delayed,-42
LCH10119,Delhi NCR,ST858,2025-06-09,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,693,421,100,164.6,Capacity,Go-Live Ready,-407
LCH10120,Kolkata,ST729,2025-08-31,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,1000,458,100,218.3,Capacity,Go-Live Ready,-324
LCH10121,Kochi,ST704,2025-03-27,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,269,606,100,44.4,None,Go-Live Ready,-481
LCH10122,Pune,ST501,2025-01-28,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,1124,1412,100,79.6,None,Go-Live Ready,-539
LCH10123,Delhi NCR,ST128,2025-12-06,Ops-C,Complete,Pending,Passed,Ready,Ready,Complete,971,1050,83,92.5,Tech Setup,Delayed,-227
LCH10124,Bengaluru,ST637,2025-11-27,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,663,1361,100,48.7,None,Go-Live Ready,-236
LCH10125,Ahmedabad,ST158,2026-05-21,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,1128,890,100,126.7,Capacity,Go-Live Ready,-61
LCH10126,Kolkata,ST598,2025-12-14,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,246,645,100,38.1,None,Go-Live Ready,-219
LCH10127,Jaipur,ST397,2026-04-18,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,1020,448,100,227.7,Capacity,Go-Live Ready,-94
LCH10128,Hyderabad,ST234,2025-08-19,Ops-B,Pending,Complete,Pending,Ready,Ready,Complete,1543,1339,67,115.2,Onboarding,Delayed,-336
LCH10129,Chennai,ST431,2025-07-09,Ops-A,Complete,Pending,Passed,Ready,Ready,Pending,1590,1134,67,140.2,Tech Setup,Delayed,-377
LCH10130,Bengaluru,ST349,2025-08-13,Ops-C,Pending,Complete,Passed,Ready,Ready,Complete,406,1080,83,37.6,Onboarding,Delayed,-342
LCH10131,Hyderabad,ST650,2026-01-20,Ops-B,Complete,Pending,Pending,Ready,Ready,Pending,277,417,50,66.4,Tech Setup,Delayed,-182
LCH10132,Mumbai,ST175,2026-01-12,Ops-A,Complete,Complete,Passed,Pending,Ready,Complete,1532,1003,83,152.7,Inventory,Delayed,-190
LCH10133,Chennai,ST754,2025-10-10,Ops-C,Complete,Pending,Passed,Ready,Ready,Complete,1329,616,83,215.7,Tech Setup,Delayed,-284
LCH10134,Hyderabad,ST934,2025-09-16,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,206,587,100,35.1,None,Go-Live Ready,-308
LCH10135,Pune,ST268,2025-12-25,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,731,1207,100,60.6,None,Go-Live Ready,-208
LCH10136,Kolkata,ST871,2026-04-01,Ops-C,Complete,Complete,Failed,Ready,Ready,Complete,705,596,83,118.3,Testing,Delayed,-111
LCH10137,Hyderabad,ST603,2026-02-15,Ops-B,Complete,Complete,Pending,Ready,Pending,Complete,873,742,67,117.7,Testing,Delayed,-156
LCH10138,Jaipur,ST985,2025-11-14,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,802,1200,100,66.8,None,Go-Live Ready,-249
LCH10139,Ahmedabad,ST455,2025-08-13,Ops-C,Complete,Complete,Failed,Ready,Pending,Complete,1249,600,67,208.2,Testing,Delayed,-342
LCH10140,Pune,ST325,2025-08-22,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,307,1197,100,25.6,None,Go-Live Ready,-333
LCH10141,Bengaluru,ST764,2026-01-09,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,234,725,100,32.3,None,Go-Live Ready,-193
LCH10142,Bengaluru,ST631,2026-04-17,Ops-A,Complete,Pending,Passed,Ready,Ready,Complete,471,549,83,85.8,Tech Setup,Delayed,-95
LCH10143,Bengaluru,ST246,2025-08-21,Ops-E,Complete,Pending,Passed,Ready,Ready,Complete,458,985,83,46.5,Tech Setup,Delayed,-334
LCH10144,Bengaluru,ST341,2025-04-23,Ops-C,Complete,Complete,Passed,Ready,Ready,Pending,433,1051,83,41.2,SOP,Delayed,-454
LCH10145,Ahmedabad,ST984,2026-05-12,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1215,1297,100,93.7,None,Go-Live Ready,-70
LCH10146,Hyderabad,ST993,2026-03-18,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1152,705,100,163.4,Capacity,Go-Live Ready,-125
LCH10147,Delhi NCR,ST444,2025-09-25,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,283,1100,100,25.7,None,Go-Live Ready,-299
LCH10148,Hyderabad,ST849,2026-05-25,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,763,543,100,140.5,Capacity,Go-Live Ready,-57
LCH10149,Mumbai,ST135,2026-01-21,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,798,666,100,119.8,Capacity,Go-Live Ready,-181
LCH10150,Kolkata,ST802,2026-01-22,Ops-A,Pending,Complete,Passed,Ready,Ready,Complete,1577,419,83,376.4,Onboarding,Delayed,-180
LCH10151,Chennai,ST101,2025-04-23,Ops-E,Complete,Complete,Pending,Ready,Ready,Complete,1395,1149,83,121.4,Testing,Delayed,-454
LCH10152,Delhi NCR,ST253,2025-03-22,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,378,732,100,51.6,None,Go-Live Ready,-486
LCH10153,Delhi NCR,ST529,2025-04-23,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,1147,482,100,238.0,Capacity,Go-Live Ready,-454
LCH10154,Hyderabad,ST608,2025-01-02,Ops-C,Complete,Complete,Failed,Ready,Ready,Complete,1479,1058,83,139.8,Testing,Delayed,-565
LCH10155,Delhi NCR,ST226,2025-08-08,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,268,1441,100,18.6,None,Go-Live Ready,-347
LCH10156,Kochi,ST591,2025-08-13,Ops-D,Pending,Complete,Passed,Ready,Ready,Complete,1087,330,83,329.4,Onboarding,Delayed,-342
LCH10157,Kochi,ST582,2026-01-20,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,473,1276,100,37.1,None,Go-Live Ready,-182
LCH10158,Mumbai,ST445,2026-02-07,Ops-E,Complete,Complete,Passed,Pending,Ready,Complete,1070,1472,83,72.7,Inventory,Delayed,-164
LCH10159,Chennai,ST838,2025-05-10,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,308,827,100,37.2,None,Go-Live Ready,-437
LCH10160,Jaipur,ST321,2025-02-22,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,388,1163,100,33.4,None,Go-Live Ready,-514
LCH10161,Ahmedabad,ST823,2026-02-20,Ops-B,Complete,Complete,Passed,Ready,Ready,Complete,545,401,100,135.9,Capacity,Go-Live Ready,-151
LCH10162,Hyderabad,ST125,2025-09-04,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,469,1395,100,33.6,None,Go-Live Ready,-320
LCH10163,Ahmedabad,ST628,2026-03-15,Ops-C,Complete,Complete,Pending,Ready,Ready,Complete,1362,922,83,147.7,Testing,Delayed,-128
LCH10164,Jaipur,ST282,2025-07-22,Ops-D,Complete,Complete,Passed,Ready,Ready,Complete,458,1104,100,41.5,None,Go-Live Ready,-364
LCH10165,Hyderabad,ST599,2025-07-03,Ops-D,Complete,Complete,Pending,Ready,Ready,Complete,398,707,83,56.3,Testing,Delayed,-383
LCH10166,Hyderabad,ST941,2025-05-03,Ops-B,Complete,Complete,Pending,Ready,Ready,Complete,687,1129,83,60.9,Testing,Delayed,-444
LCH10167,Chennai,ST741,2026-02-05,Ops-E,Complete,Pending,Passed,Ready,Ready,Complete,850,1088,83,78.1,Tech Setup,Delayed,-166
LCH10168,Ahmedabad,ST142,2025-10-21,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,543,917,100,59.2,None,Go-Live Ready,-273
LCH10169,Kochi,ST581,2025-10-07,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,801,848,100,94.5,None,Go-Live Ready,-287
LCH10170,Bengaluru,ST948,2025-07-17,Ops-C,Complete,Complete,Pending,Ready,Ready,Pending,1167,590,67,197.8,Testing,Delayed,-369
LCH10171,Ahmedabad,ST848,2026-05-26,Ops-E,Complete,Complete,Passed,Ready,Ready,Complete,555,721,100,77.0,None,Go-Live Ready,-56
LCH10172,Kolkata,ST972,2025-05-24,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,1149,480,100,239.4,Capacity,Go-Live Ready,-423
LCH10173,Kolkata,ST539,2025-07-20,Ops-C,Complete,Complete,Passed,Ready,Ready,Complete,1354,954,100,141.9,Capacity,Go-Live Ready,-366
LCH10174,Hyderabad,ST502,2025-05-04,Ops-A,Complete,Complete,Passed,Ready,Ready,Complete,170,413,100,41.2,None,Go-Live Ready,-443
